-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/echow/QSU/SEER-medicare/code/hcpcs.log
  log type:  text
 opened on:  13 Jul 2018, 12:14:18

.         tab hcpcs, sort

 HCPCS Code |      Freq.     Percent        Cum.
      72100 |      4,430        0.10       79.64
      86316 |      4,425        0.10       79.74
      73030 |      4,401        0.10       79.84
      82746 |      4,299        0.10       79.94
      84479 |      4,204        0.10       80.04
      77408 |      4,202        0.10       80.14
      72192 |      4,195        0.10       80.23
      97022 |      4,172        0.10       80.33
      80185 |      4,146        0.10       80.42
      A0330 |      4,127        0.10       80.52
      88108 |      4,120        0.09       80.61
      76098 |      4,119        0.09       80.71
      99215 |      4,085        0.09       80.80
      88313 |      4,077        0.09       80.90
      P9604 |      4,076        0.09       80.99
      99285 |      4,066        0.09       81.08
      85021 |      4,063        0.09       81.18
      82728 |      4,037        0.09       81.27
      70470 |      3,930        0.09       81.36
      87088 |      3,901        0.09       81.45
      78478 |      3,880        0.09       81.54
      72170 |      3,875        0.09       81.63
      88312 |      3,848        0.09       81.72
      88104 |      3,830        0.09       81.81
      87040 |      3,810        0.09       81.90
      P3000 |      3,696        0.09       81.98
      94010 |      3,672        0.08       82.06
      84165 |      3,665        0.08       82.15
      74000 |      3,609        0.08       82.23
      19120 |      3,575        0.08       82.31
      93545 |      3,558        0.08       82.40
      93556 |      3,547        0.08       82.48
      76360 |      3,538        0.08       82.56
      76942 |      3,515        0.08       82.64
      77295 |      3,478        0.08       82.72
      62311 |      3,469        0.08       82.80
      99203 |      3,453        0.08       82.88
      A4655 |      3,426        0.08       82.96
      76096 |      3,413        0.08       83.04
      88331 |      3,401        0.08       83.12
      A9500 |      3,359        0.08       83.19
      J2500 |      3,344        0.08       83.27
      85652 |      3,319        0.08       83.35
      97033 |      3,292        0.08       83.42
      94240 |      3,291        0.08       83.50
      19290 |      3,284        0.08       83.58
      87117 |      3,284        0.08       83.65
      93510 |      3,284        0.08       83.73
      93041 |      3,283        0.08       83.80
      93543 |      3,282        0.08       83.88
      74150 |      3,268        0.08       83.95
      97002 |      3,268        0.08       84.03
      93555 |      3,267        0.08       84.10
      83874 |      3,245        0.07       84.18
      78480 |      3,238        0.07       84.25
      76770 |      3,210        0.07       84.33
      97003 |      3,198        0.07       84.40
      87206 |      3,194        0.07       84.47
      Q0085 |      3,138        0.07       84.55
      45380 |      3,077        0.07       84.62
      70553 |      3,057        0.07       84.69
      73630 |      3,054        0.07       84.76
      87102 |      3,029        0.07       84.83
      86038 |      2,969        0.07       84.90
      45384 |      2,935        0.07       84.96
      J9045 |      2,931        0.07       85.03
      93971 |      2,906        0.07       85.10
      76705 |      2,891        0.07       85.17
      Q0083 |      2,863        0.07       85.23
      J9265 |      2,858        0.07       85.30
      74022 |      2,855        0.07       85.36
      Q0136 |      2,784        0.06       85.43
      92526 |      2,771        0.06       85.49
      74020 |      2,768        0.06       85.55
      86140 |      2,743        0.06       85.62
      99204 |      2,722        0.06       85.68
      82043 |      2,693        0.06       85.74
      88173 |      2,642        0.06       85.80
      55700 |      2,611        0.06       85.86
      86920 |      2,592        0.06       85.92
      94640 |      2,566        0.06       85.98
      73562 |      2,560        0.06       86.04
      77470 |      2,545        0.06       86.10
      99244 |      2,497        0.06       86.16
      73560 |      2,478        0.06       86.21
      90657 |      2,456        0.06       86.27
      19125 |      2,451        0.06       86.33
      72148 |      2,419        0.06       86.38
      76872 |      2,405        0.06       86.44
      80198 |      2,404        0.06       86.49
      80158 |      2,401        0.06       86.55
      88164 |      2,390        0.06       86.60
      73610 |      2,384        0.05       86.66
      87072 |      2,262        0.05       86.71
      73110 |      2,209        0.05       86.76
      87163 |      2,193        0.05       86.81
      90862 |      2,193        0.05       86.86
      77370 |      2,184        0.05       86.91
      36600 |      2,183        0.05       86.96
      32405 |      2,158        0.05       87.01
      94665 |      2,157        0.05       87.06
      93970 |      2,133        0.05       87.11
      36533 |      2,128        0.05       87.16
      77409 |      2,087        0.05       87.21
      84480 |      2,084        0.05       87.26
      83721 |      2,078        0.05       87.31
      J2405 |      2,074        0.05       87.35
      73130 |      2,072        0.05       87.40
      J2175 |      2,058        0.05       87.45
      76856 |      2,055        0.05       87.50
      82570 |      2,053        0.05       87.54
      88180 |      2,052        0.05       87.59
      76375 |      2,031        0.05       87.64
      J9190 |      2,007        0.05       87.68
      Q0082 |      1,994        0.05       87.73
      82575 |      1,982        0.05       87.78
      36430 |      1,981        0.05       87.82
      97018 |      1,975        0.05       87.87
